symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli,Cases
0.0,34.75,0.0,0.0,18.0,0.0
0.0,39.0,0.0,7.0,19.0,2.0
0.0,48.75,0.0,0.0,18.75,0.0
7.5,53.25,0.0,15.0,24.75,0.0
1.75,43.25,0.0,3.25,10.5,1.0
0.0,49.5,0.0,7.75,36.25,0.0
1.75,37.5,0.0,15.5,22.5,0.0
1.5,58.5,0.0,9.75,36.0,0.0
1.75,48.25,1.75,12.0,31.5,2.0
0.0,44.0,0.0,8.75,19.75,0.0
0.0,35.25,0.0,3.25,16.25,0.0
0.0,17.75,0.0,7.25,13.0,0.0
0.0,54.75,0.0,6.75,34.75,0.0
0.0,47.5,0.0,7.0,25.0,2.0
6.5,50.0,0.0,8.25,22.25,0.0
1.75,68.5,0.0,11.0,43.5,0.0
0.0,50.25,0.0,10.25,34.75,1.0
0.0,52.75,0.0,1.75,36.75,1.0
0.0,49.0,0.0,16.5,24.5,1.0
0.0,27.5,0.0,0.0,12.0,2.0
0.0,45.5,0.0,10.25,39.25,3.0
0.0,36.25,0.0,1.75,16.75,3.0
0.0,53.25,0.0,0.0,39.5,4.0
0.0,50.75,0.0,1.75,16.0,3.0
0.0,58.25,0.0,3.0,26.25,1.0
0.0,16.5,1.5,1.5,13.0,3.0
1.5,10.5,0.0,1.5,8.25,3.0
0.0,45.25,0.0,0.0,40.25,9.0
0.0,23.25,0.0,2.75,18.5,5.0
1.5,41.25,0.0,9.0,37.75,4.0
0.0,51.5,0.0,1.5,38.25,2.0
0.0,20.25,0.0,2.0,16.75,3.0
0.0,40.5,0.0,1.25,22.5,8.0
0.0,48.5,0.0,1.25,23.5,6.0
0.0,56.5,0.0,1.25,36.5,7.0
0.0,52.75,0.0,0.0,39.75,7.0
0.0,31.75,0.0,1.25,26.5,8.0
1.25,56.75,0.0,8.5,42.5,8.0
0.0,50.0,0.0,1.25,28.75,7.0
0.0,31.75,0.0,1.25,25.25,5.0
0.0,55.75,0.0,0.0,38.25,3.0
1.25,52.0,0.0,3.25,22.75,7.0
1.25,51.25,0.0,9.25,36.25,3.0
0.0,33.0,0.0,0.0,19.25,6.0
0.0,43.75,1.5,0.0,21.5,1.0
0.0,61.0,0.0,7.25,44.0,1.0
0.0,51.5,0.0,13.0,33.75,0.0
0.0,21.25,0.0,0.0,12.75,8.0
0.0,14.0,0.0,0.0,9.75,0.0
1.5,22.5,0.0,5.5,4.25,0.0
0.5,24.5,0.0,10.25,15.5,0.0
0.0,14.5,0.0,0.5,6.25,1.0
0.5,30.0,0.0,4.25,16.75,1.0
0.5,29.25,0.0,7.75,21.25,1.0
0.5,16.5,0.0,1.25,9.25,2.0
0.0,20.25,0.0,0.5,16.25,6.0
0.0,23.25,0.5,1.0,14.25,2.0
0.5,24.0,0.0,3.25,14.25,0.0
0.0,22.0,0.0,0.75,12.5,2.0
1.0,19.25,0.0,1.25,8.0,6.0
0.0,15.0,0.0,0.75,7.0,1.0
0.5,15.25,0.0,3.25,10.75,2.0
0.5,31.25,0.0,1.25,21.25,3.0
0.5,30.75,0.0,1.25,15.25,2.0
0.0,16.0,0.0,3.75,11.5,1.0
0.5,28.5,0.0,1.0,9.5,3.0
0.5,23.0,0.0,0.75,18.25,4.0
0.5,36.75,0.0,0.75,19.5,0.0
0.75,13.75,0.0,1.75,7.75,0.0
0.5,22.75,0.0,0.75,12.5,3.0
0.5,20.75,0.0,8.5,8.5,4.0
1.0,82.75,0.0,21.75,66.5,3.0
0.75,84.25,0.5,14.25,58.5,1.0
1.0,22.5,0.0,2.25,16.5,3.0
2.5,12.75,0.0,4.0,8.25,5.0
6.5,42.5,0.0,8.0,36.25,1.0
0.0,44.0,0.0,6.75,34.25,3.0
0.5,19.5,0.0,0.75,7.0,6.0
0.0,40.5,0.0,4.5,28.25,1.0
0.5,18.25,0.0,3.0,15.75,2.0
0.0,26.5,0.0,0.5,21.75,11.0
0.0,15.75,0.0,4.5,11.25,4.0
2.25,24.75,0.0,2.75,18.0,6.0
0.0,18.75,0.0,2.5,9.25,3.0
