symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli,Cases
0.0,37.857142857142854,0.0,4.714285714285714,13.285714285714285,9.0
0.0,19.857142857142858,0.0,0.0,10.142857142857142,6.0
0.0,9.285714285714286,0.0,0.0,3.571428571428572,8.0
4.714285714285714,16.857142857142858,0.0,4.714285714285714,13.0,1.0
0.0,19.285714285714285,0.0,0.0,16.857142857142858,3.0
0.0,36.857142857142854,0.0,3.8571428571428568,28.285714285714285,9.0
2.571428571428572,12.0,0.0,3.7142857142857135,3.7142857142857135,7.0
0.0,27.142857142857146,0.0,0.0,9.142857142857142,7.0
0.0,20.428571428571427,0.0,0.0,13.571428571428573,9.0
0.0,36.42857142857143,0.0,3.7142857142857135,20.0,6.0
0.0,11.571428571428573,0.0,0.0,8.0,7.0
0.0,31.285714285714285,0.0,0.0,16.0,6.0
0.0,21.857142857142854,0.0,4.142857142857143,10.428571428571429,12.0
0.0,16.0,0.0,0.0,9.428571428571429,8.0
2.4285714285714284,11.714285714285715,0.0,2.4285714285714284,6.428571428571429,21.0
0.0,13.142857142857142,0.0,6.2857142857142865,8.571428571428571,16.0
0.0,15.571428571428573,0.0,2.4285714285714284,13.571428571428573,8.0
0.0,20.142857142857142,0.0,0.0,4.0,9.0
0.0,24.714285714285715,0.0,3.2857142857142856,23.57142857142857,5.0
0.0,31.714285714285715,0.0,0.0,12.428571428571427,7.0
0.0,36.42857142857143,0.0,3.2857142857142856,12.857142857142858,24.0
0.0,24.57142857142857,0.0,3.2857142857142856,15.285714285714285,3.0
0.0,29.285714285714285,0.0,0.0,19.142857142857142,17.0
0.0,57.85714285714285,0.0,2.8571428571428568,39.0,21.0
0.0,40.42857142857143,0.0,4.428571428571429,27.285714285714285,10.0
0.0,53.714285714285715,0.0,6.142857142857142,29.57142857142857,15.0
2.0,49.85714285714285,0.0,2.0,25.57142857142857,6.0
0.0,58.42857142857143,0.0,0.0,39.42857142857143,7.0
0.0,15.857142857142858,0.0,0.0,13.428571428571427,11.0
0.0,24.42857142857143,0.0,7.142857142857142,14.714285714285715,4.0
0.0,35.714285714285715,0.0,2.0,22.285714285714285,2.0
0.0,20.142857142857142,0.0,5.285714285714286,10.428571428571429,3.0
0.0,27.0,0.0,0.0,5.285714285714286,2.0
0.0,18.428571428571427,0.0,4.0,15.285714285714285,2.0
0.0,21.142857142857142,0.0,0.0,8.142857142857142,0.0
0.0,20.428571428571427,0.0,4.0,12.714285714285715,0.0
0.0,35.42857142857143,0.0,0.0,10.0,1.0
0.0,51.57142857142857,0.0,0.0,23.57142857142857,1.0
0.0,31.0,0.0,0.0,15.285714285714285,7.0
0.0,38.42857142857143,0.0,0.0,15.428571428571427,3.0
0.0,32.57142857142857,0.0,3.1428571428571432,9.285714285714286,0.0
0.0,51.57142857142857,0.0,0.0,36.0,7.0
0.0,30.285714285714285,0.0,5.0,20.571428571428573,0.0
